title,body,url,side_score,failure_score,noise_score,final_score,reason
지구의이해 ㄱㅇㅁ 과제,"20/09/02 14:01
저번학기에도 재택수업과제물 있었어? 교재안사려했는데 과제하는데 필요한가 싶어서",https://everytime.kr/375208/v/140668571,3,2,0,5,부업 관련이나 실패 여부 애매
🎓전남대 졸업식 플로랄데이즈 예약 및 교내픽업안내,"24/02/23 17:40
안녕하세요.
생화전문 온오프라인플라워샵 플로랄데이즈입니다.
플로랄데이즈는 신가점, 첨단점(보이저첨단)과
온라인 스마트스토어를 함께 운영중인 생화전문플라워샵입니다.
작년 5월 봉지에서 플리마켓 진행하며 전대 학우분들과 꽃으로 소통했던 그 업체입니다^^
v 인스타그램: @ floraldays_flowershop
v 블로그: https://blog.naver.com/floraldays_flower
v 예약방법: 네이버 '플로랄데이즈'검색 후 네이버예약(날짜, 시간, 사이즈, 옵션 등 선택가능)
: 요청란에 전남대학교 배송요청(9시 30분 김** 픽업으로 작성부탁드려요.)
v 픽업방법: 졸업식 당일 오전 9시 30분~10시 공대 시계탑앞 네이버 예약내역 확인 후 전달.
2024년 2월 26일 월요일 전남대학교 졸업식 꽃다발 예약시 플로랄데이즈 두 곳 매장은 물론 교내에서 무료 픽업가능하도록 준비해드려요.
매장 픽업시 전남대학교 학생증 제시하면
꽃다발 S사이즈 이상 구매시 쇼핑백/플라워푸드 서비스로 제공해드립니다 ^^
- 교내 픽업일시: 2월 26일 오전 9시 30분~ 10시
- 교내 픽업장소: 공대 시계탑(카페)앞 테라스
- 전남대학교 졸업꽃다발 혜택:
✔️ 무료 배송서비스
✔️ 꽃다발 M사이즈이상 구매시 쇼핑백증정
- 선물용 한송이꽃다발, 미니꽃다발 도 정성스럽게 준비해드립니다.
- 꽃다발 색감 및 사이즈 선택 가능(졸업식꽃다발은 특정 이미지상품 준비는 어려우실수있으니 이점 양해부탁드립니다.)
졸업식당일은 구매가 어려우실수있으니 23일까지 선예약부탁드립니다.
인생의 소중한 순간 졸업식 꽃다발 생화전문 플라워샵 플로랄데이즈와 함께하세요^^",https://everytime.kr/375182/v/331945576,6,1,0,7,부업 관련이나 실패 여부 애매
전라도가 ㄹㅇ 웃긴게 실제로,"(알수없음)
25/09/20 01:52
복합쇼핑몰이 필요없다고 생각하는 사람들이 많이 있다는거. 여수순천광양은 전남 넘어서 국내에서 손꼽히는 부유한 생활권역인데 시민단체가 트레이더스 코스트코 다 쳐내서 코스트코 가려고 부산까지 가는 기형아같은 동네로 만들어놓음 호남소외론 매일같이 내세우며 중앙에 돈달라고 하는데 사실 민주화 이후론 정부가 호남을 소외시키는게 아니라 호남이 자체적으로 퇴보를 선택하는거임.... 언젠간 호남도 물갈이가 되었으면 좋겠다...",https://everytime.kr/375208/v/390313330,3,3,0,6,부업 관련이나 실패 여부 애매
내일부터 재택수업 시작인데,"(알수없음)
20/03/15 14:21
그럼 아침 일찍일어나서 수업시간처럼 출첵해야하는거임?
그런거 설명하나도 안나와있네 그냥 1주차수업 과제만 해서 그주 마지막까지 제출하면 끝인건가
(알수없음)",https://everytime.kr/375208/v/109292653,3,3,1,5,부업 관련이나 실패 여부 애매
오피셜이다. 문자로 방금 온소식,"20/04/21 15:57
[Web발신]
2020학년도 1학기 여수생활관 개관 및 입주 취소 안내
‘코로나19’ 대응 2020학년도 1학기 재택수업이 학기말까지 연장됨에 따라 생활관 입주일이 아래와 같이 변경되었음을 알려드리오니 많은 양해와 협조 부탁드립니다.
1. 개관일자: 2020. 4. 27.(월) ~ 6. 27.(토)
2. 개관일
1)입주일: 2020년 4. 27.(월) 오전 9시~오후 6시
2)식사제공: 4. 27.(월) 석식부터
3. 개관장소: 푸른, 열린학사 (미래학사 미운영)
※ 미래학사 입주생은 열린학사로 입주(호실은 개관 전 문자로 개별 공지)
※ 생활관 입주 인원에 따라서 학사 및 호실은 변경 될 수 있음.
4. 2020학년도 1학기 입주 취소 신청
1) 신청기간: 2020. 4. 21.(화) ~ 4. 24.(금) 18:00까지
2) 신청방법: 생활관홈페이지-마이페이지-입주신청정보-환불신청
3) 환불예정일: 환불신청 순서에 따라 순차적 전액 환불
※ 입주취소 신청하지 않은 학생들은 자동 입주 신청으로 간주하며,
개관 후 환불은 중간퇴관에 적용 되어 반환 됨
5. (4월 27일 이후) 입주를 희망하고자 하는 학생은 생활관홈페이지-입주신청 “2020.1학기 입주신청”
1) 선발: 매주 월요일 선발(2020. 5. 4.(월) ~ )
2) 입주: 매주 금요일 입주(2020. 5. 8.(금) ~ )
6. 건강검진 및 입주시 유의 사항
가. 학교보건진료소(교내 검진시 서류 제출 할 필요 없음)
1) 광주보건진료소: 2020. 4. 27.(월) ~ 5. 8.(금) 16:00
2) 여수보건진료소: 2020. 4. 27.(월) ~ 4. 28.(화) 16:00 〔※ 변경가능-추후 공지〕
나. 학교 보건진료소 외 검진 받을 경우 “결핵검진 필수”
※ 메일: jshm77@jnu.ac.kr fax: 061-659-6819 제출
다. 입주시 유의사항
1) 마스크 반드시 착용
2) 학교 선별진료소 체온측정 후 생활관 입주(발열자 입주 불가)
3) 외부인 생활관내 실내 진입불가(학부모 포함)
7. 입주 전 필수 제출 서류
*세부내용은 홈페이지 공지사항 참고
문의사항 : ☎ 061-659-6814
(알수없음)",https://everytime.kr/375209/v/117035516,3,3,0,6,부업 관련이나 실패 여부 애매
더현대 2027년 그랜드 스타필드 2030년에 문 연다,"23/12/22 12:11
스타필드 준공일 2030년
https://naver.me/xc9XxyP8
더현대 준공일 2027년
https://n.news.naver.com/article/001/0014398074?sid=102
이제 삽뜨는구나~~~ 광주에 거대 대형 복합쇼핑몰 2개가 동시에 공사 시작하네
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375208/v/325781447,3,3,0,6,부업 관련이나 실패 여부 애매
,"20/04/07 12:46
재택 근무 중.
7시 반 기상 -> 어플로 요가 15분 -> 동네 뒷 길 런데이 30분 -> 샤워
9시 출근 -> 9시 5분 메일로 업무 지시 받기 -> 받은 업무 몇 시간 내에 가능할 것인지 각재기 -> 냉장고 뒤져 아침 찾아서 컴퓨터 앞 착석 -> 점심메뉴 고민
까지가 지금 한 일
(삭제)
삭제된 댓글입니다.",https://everytime.kr/375181/v/114581856,3,1,0,4,부업 관련이나 실패 여부 애매
학점소요없다? 경영 학점글? 아래 글보고 글남긴다,"25/12/24 07:16
학점은 머리싸움은 아닌듯? 어느정도맞다
어느정도 성실성 수업참여도 등등도 포함되는거고
그런데 학점은 기본으로 까는거거든?
실상은 학점 좋은애들이 다른 성취도도 *대부분* 좋으니까
교외에서 성취할수 있는거말야
학점낮은애들이 드물게 외부성취도도 좋은 경우가 있긴한데
다른 집중하는게 있을듯 자격증등등 창업한다거나
이런애들이 학점 경쟁하면 또 고학점 쟁취할 가능성 높음
학점 소용없다 하는애들치고 학점 말고 그외 스펙 좋은애들이
드물다
결국 학점 소용없다 하는애들은 지들 학점이 ㅈㄴ 낮은애들이거나. 뒤지게했늦데 학점안나와서 학점 에 불만있는애들
학점이 *전부* 는 분명 아니다
그런데 학점좋은 애들이 다른것도 잘할 확률이 ㅈㄴ 높다는거
학점 소용없다? 니들 외부 업적 인증이나 해봐라
외부업적 말야
어학 각종 자격증 대외 활동 등등
외부 스펙 인증하면 ㅇㅈ해줄께
그럼 수고들 해라",https://everytime.kr/375208/v/396847151,3,2,0,5,부업 관련이나 실패 여부 애매
,"23/03/14 11:24
[시급1.3] 엑셀 단순 사무보조 재택근무 알바 구합니다.
회사명 : 프로그레스미디어 (서울 구로)
▶접수기간 : 2023.03.14 ~ 2023.03.24
▶고용형태 : 아르바이트
▶전형절차 : 서류 - 면접 및 업무 상세 설명(유선or대면) - 채용
▼채용공고▼
- 모집분야
매출데이터 관리
- 담당업무 및 자격요건
담당업무 : 광고매체별 매출데이터 정리
담당자/ 거래처별 수수료 정산
자격요건 : 엑셀 능력 우수자
- 근무조건
근무기간 : 6개월~1년 (협의가능)
근무요일 : 매월 1~10일 / 월~금 (주 3일 기본, 협의가능)
근무시간 : 마감 내 자율 / 3~4시간 (협의가능)
근무방식 : 재택근무
시급 : 1만 3천원
- 업무 내용
매출파일 정리 : 약 10개의 매출 엑셀 파일 하나로 정리 작업
거래처별 수수료 정리 : 매출 파일 정리 후 약 150건 거래처 별 수수료 입력/정리
- 접수 방법
jang_gi_hoon@nate.com 메일로
연락처 및 인적사항을 포함한 간단한 이력서 송신
(메일 발송시 말머리에 [알바]를 넣어주시면 더 빨리 확인이 가능합니다.)",https://everytime.kr/424589/v/293758393,5,1,0,6,부업 관련이나 실패 여부 애매
그래도 광주에 보여준 진심은..,"(알수없음)
25/01/19 12:18
거짓이 아니라고 생각함
진짜 난 광주 사람이라서 그리고 광주 청년이라 윤석열을 지지 할거임
정치는 관심 없고 간첩도 북한 뭐시기도 관심 없지만
절대 불가능 할것 같았던 광주에도 복합쇼핑몰 유치..
너무 고마운 대통령이다..",https://everytime.kr/375208/v/366169527,3,1,0,4,부업 관련이나 실패 여부 애매
‼️50만원에 중국 3박 4일 창업 트렌드 체험,"24/11/28 21:52
온라인 비즈니스에 관심 있는 친구들은 이거 꼭 봐야 함 (Feat. 중국 여행)
단돈 50만원에 중국 가서 3박 4일 창업 트렌드 체험하고 아이디어 얻자~!
'2024 글로벌진출 시장조사단 1기 : 중국 전자상거래 구조 파악’ 모집 안내
○ 행사지역 : 중국 산동성 옌타이시
○ 행사기간 : 2024년 12월 16일 (월) ~ 12월 19일 (목), 3박 4일
○ 지원자격 : 35세 이하 청년 예비 창업자 및 청년 창업자(창업 7년 이내)
○ 경비구성 : 자부담 50만원 (국비 지원 100만원, 전 일정 항공, 4성급 호텔, 식사 포함)
○ 신청기간 : 공고 시 ~ 2024년 11월 30일(토) 23:59까지
○ 후 원 : 대한민국 외교부 재외동포청
➡️ 더 살펴보기 🔍 : https://forms.gle/313A2zdMjxEAnoK79",https://everytime.kr/375208/v/361437459,0,5,0,5,실패 표현 있으나 부업성 약함
마케팅 관심 있는 사람 커몬!,"20/11/30 18:12
⭐️광주에서 뭐 하지 채용공고⭐️
✔️졸업예정자 / 졸업자 해당 (휴학생X)
✔️주업무 : 여행, 맛집, 카페 신메뉴, 패션, 뷰티 등 트렌드를 연구하고 콘텐츠 제작 및 광고 기획
✔️채용예상인원
5명
✔️지원시 우대사항
👧🏻포토샵 가능한 사람(자격증까지는 X)
👧🏻미술, 영상 관련 전공자 우대 또는 비전공자여도 미적 감각이 있으면 OK
✔️지원 방법
👧🏻6개월 계약직/기간제 20대연령 공개채용 (재택근무X, 투잡X, 알바X)
→6개월 계약직 종료 후 정규직 전환 검토
👧🏻지원방법 : 자유형식의 이력서, 자기소개서, 포트폴리오(있을 경우에만)
👧🏻이메일로 지원 ▶️ admin@nanumcorp.co.kr
(알수없음)",https://everytime.kr/375208/v/154613534,7,1,0,8,부업 관련이나 실패 여부 애매
청주가 어케 광주보다 쇼핑몰이 많노,"02/11 18:11
청주 쇼핑할 곳이 현대백화점이랑 롯데아울렛 정도만 있었던 개노잼도시였는데 갑자기
얼마전에 커넥트현대(더현대 비스무리한거) 생겼고
스타필드 빌리지(스타필드 축소판), 이마트트레이더스 포함된 스타필드(대규모 복합쇼핑몰로 빌리지랑 좀 떨어진 곳에 따로 하나 더지음), 코스트코 짓는 중임
뭐지 당황스럽네",https://everytime.kr/375208/v/400158257,3,1,0,4,부업 관련이나 실패 여부 애매
함께 글쓰기 공모전 도전하실 분 찾습니다,"23/08/17 23:57
취미생활 겸 약간의 부업으로 글쓰기 공모전을 계속해서 도전해보려고 합니다
혼자 쓰면 절대성이 너무 없어서 절대성을 가질 겸 같이 글쓰며 공모전 나가실 분들 구합니다
❌ 신천지 대진연 등 글쓰기 외의 목적을 가지신 분은 제재당할 수 있습니다.
관심있으신 분은 옵챗 주세요 ~!
글쓰기 공모전✒️
https://open.kakao.com/o/sv2N1RBf",https://everytime.kr/375182/v/312961808,6,1,0,7,부업 관련이나 실패 여부 애매
귀족 노조 정당을 지지하면 생기는 일,"01/16 01:20
이 연구는 수만 명에 이르는 전체 야간 배송 노동자 가운데 단 10명만을 표본으로 삼은 조사 결과로 대표성을 논하는 것은 통계학적·정책적 관점 모두에서 설득력이 없습니다.
쿠팡파트너스연합회 2,405명을 대상으로 한 조사에서 95%의 기사들은 새벽배송을 계속하겠다는 의사를 보였습니다. 새벽배송이 현실적 선택에 기반한 노동 형태라는 것을 알 수 있습니다.
이번 논란은 민주노총 택배노조가 심야배송 근절을 공식 제안하면서 본격화됐습니다. 그러나 과거 민주노총 간부의 택배기사들에게 폭력 사건과 진보당 정당 가입을 공개적으로 강요했던 논란까지 겹치며, 다수 기사들의 반대에도 불구하고 심야배송 금지를 무리하게 추진하는 배경이 과연 노동 현실의 개선인지, 아니면 정치적 이해관계와 맞물린 판단인지에 대한 의문을 낳을 수밖에 없습니다.",https://everytime.kr/482730/v/398208188,3,1,0,4,부업 관련이나 실패 여부 애매
전남대(광주) 의치약수대 생기부를 업로드하고 부수입을 만드세요!,"(알수없음)
23/08/14 11:34
👋 안녕하세요, 전남대(광주) 의치약수대 여러분. 저희는 서울대학교 스타트업 아카랩입니다.
🎒 우수 대학교 합격생들의 생활기록부를 고등학생과 학부모에게 유통하는 서비스인 <그들의 생기부>를 운영하고 있습니다.
✅ 그들의 생기부란?
대학생이 생기부를 업로드 해두면 서비스 이용자가 본인의 생기부를 열람할 때마다 정산금을 받는 시스템입니다.
🚀 MAU: 51,000명
🎓 생기부를 업로드한 합격생: 410명
💵 월 최대 정산금 : 25만원
📚 현재는 방문 고객이 월 51,000명을 넘었고, 생기부를 올려주신 400명의 합격생 분들이 월 최대 20만원까지 정산을 받고 계십니다.
💵 학생/학부모님이 결제하실 때마다 1만원 씩 정산금이 적립되며, 익월에 정산해드리고 있습니다.
🔥 현재 22학번, 23학번에 대한 생기부 수요가 많으니 지금 바로 업로드하시고 부수입을 만들어보세요!
https://www.saenggibu.com/provider-landingpage",https://everytime.kr/375182/v/312539504,5,1,0,6,부업 관련이나 실패 여부 애매
🧑‍🎨미리캔버스 디자인 부업 간단,"24/08/16 23:10
미리캔버스 디자인 간단한데
저도 그냥 그려서 등록된거 수입 들어왔음
혼자하면 늘어져서 같이 서로 쪼면서 부자될 사람
👉서로 아이디어 공유 및 피드백
👉그림 피드백
👉서로 집중 도와주기
디자인툴 소유한 분 우선",https://everytime.kr/487611/v/351487650,3,1,1,3,부업 관련이나 실패 여부 애매
천가게(쇼핑몰)에서 공동구매 하실 분!,"24/08/23 18:32
요즘 인형 만들기에 빠져있는데, 혹시 천가게라는 패브릭 쇼핑몰에서 같이 구매하고 배송비 나누실 분 있을까요?",https://everytime.kr/377489/v/352151395,3,0,0,3,부업 관련이나 실패 여부 애매
💸대학생 창업가를 찾습니다! (상상유니브),"20/12/08 01:44
✨가짜 대학생을 찾습니다(영상 출연, 출연료o)
진짜와 가짜의 숨 막히는 심리싸움 컨셉의 촬영
-📽촬영내용: 대학생 창업가와 창업가인척하는 가짜 대학생이 서로 본인이 대학생 창업가가 맞다고 주장하는 컨셉
-👫지원자격: 대학생 신분으로 창업(사업, 부업) 활동 중인 학생 혹은 능청스럽게 거짓말 잘하는 대학생 (성별무관)
🛎 이색 대회 수상 경력 혹은 특별한 자격증을 취득하신 대학생 여러분들도 연락바랍니다
-🧾지원양식
1. 창업가 or 일반대학생
2. 학교 학과 이름
3. 연락처 +@ 인스타 아이디
-🏢장소: 상상유니브 전남본부(광주 1호선 농성역 부근) or 광주역 부근 스튜디오
-🗓촬영 일정: 12월 16일 ~ 24일 사이 (시험 기간에 지장없게 출연진과 조율 예정 )
-💰출연료: 개인당 8만원 + @ 최종 선택받을 시 20만원의 상금
더 자세한 내용은
https://instagram.com/sangsanguniv.jn?igshid=1q5k66jm6bd6o
💌 DM 혹은 개인 쪽지 주시면
상세히 안내 도와드리겠습니다",https://everytime.kr/375182/v/155880525,3,1,0,4,부업 관련이나 실패 여부 애매
코로나,"22/03/03 16:06
코로나 확진되면 재택치료하는 사람한테 약 주나요?? 아니면 개별적으로 해결하나요?",https://everytime.kr/375208/v/236015726,3,1,0,4,부업 관련이나 실패 여부 애매
전남대 입결 낮은 건 시민단체 때문임,"24/03/12 20:45
시민단체 싹 다 쓸어버려야 하는데
들고 일어나서 싹 다 쓸어버려야 함
복합쇼핑몰 막고 지하철 막고 아파트 고층 건물 막고
오일장 타령이나 하는 시민단체 ㄹㅇ",https://everytime.kr/375208/v/335541677,3,1,0,4,부업 관련이나 실패 여부 애매
알바,"23/04/16 16:50
사장님이 맘에 안들었는지 앉혀놓고 설교하셔서
난 짜피 투잡이었거든 돈이 급한건 아니고 항상 보험을 들어두는 타입이라
그래서 그냥 새 알바 구해지면 말씀해주십쇼 그때까지만 하겠습니다
하니까 말투 확 바껴서 그게 아니고~ 시전
이게 뭐람",https://everytime.kr/375208/v/298817626,3,3,1,5,부업 관련이나 실패 여부 애매
,"(알수없음)
20/09/03 15:48
지구의 이해 김유미 교수님 듣는 얘들아 재택과제 2-2번 없지 않아?",https://everytime.kr/375210/v/141041925,3,0,0,3,부업 관련이나 실패 여부 애매
맨날 몸 자랑하는 에붕이들아,"24/08/25 13:46
쇼핑몰 피팅모델 구합니다.
https://www.daangn.com/kr/job-posts/쇼핑몰-피팅모델-구합니다-0TscusEvdXB
ㄱㄱ",https://everytime.kr/375181/v/352277895,3,0,0,3,부업 관련이나 실패 여부 애매
(핫게요청)광주 유스퀘어는 재개발하는게 맞지,"24/03/16 01:03
대전신세계 아트앤 사이언스 개발해서
각종 회사 지사들과 본사 사무실들, 그리고 정부청사와 시청이 위치하며
CBD 역할 하는 둔산동에 필요한 소비 및 문화 인프라를 제공했던 것처럼
광주시도 비슷하게 광천에 더현대 광주, 그리고 광주신세계 아트앤 컬처 개발해서(별도로 상장된 지역 법인이라 지역 세수에도 도움됨)
각종 금융사 및 회사 지사들과 본사 사무실들 그리고 광주지방법원, 광주광역시청 등 위치하며
CBD 역할 하는 상무지구에 필요한 소비 및 문화 인프라를 제공하려고 하는거임.
멀쩡한 유스퀘어 왜 뜯어내냐? 하는데
애초에 광주시민들이 원하는 바는 후줄근한 유스퀘어 보다 더 이상이었잖아?
그러니깐 복합쇼핑몰 여론조사도 광주시민 대상으로 70% 찬성 했던거고
그래서 시 차원에서도 도시계획 상으로 광천을 개발하려고 준비중인거임
당장 호반 서밋 고층 올라간거 보면 광주 서쪽은 군공항 고도제한, 동쪽은 무등산 고도제한 걸려있으니 광천동만 고도제한으로 부터 자유로운 곳이기 때문에 더현대같은 고층 빌딩들 겸 문화 인프라들이 밀집되어서 발전하기 최적의 장소가 되었음.
그래서 금호월드 철거후 신세계 확장하려고 했는데 이 방안은 금호월드 상인들의 극렬한 반대로 무산
차선책으로 금호로부터 유스퀘어 부지를 신세계가 사와서 유스퀘어를 복합쇼핑몰로 재개발
그리고 기존 버스정류장은 지하화(광천터미널 앞 도로 정체구간 생각하면 지하화도 필수) 시키는거고
시 차원에서도 상무지구부터 유스퀘어, 그리고 방직부지 더현대에서 광주역까지 뻗어나가는 도시철도 계획중인거임.(윤석열 광주 민생토론회에서 공개 예정, 부동산 카페 보면 나옴)
광주시민 원하는 대로
광주 개발하는건데 갑자기 왜 뜯어내냐? 이러는것도 좀 뜬금없긴 함
보수적으로 생각하지 말자",https://everytime.kr/375208/v/336001251,3,3,0,6,부업 관련이나 실패 여부 애매
근데박용우 쟤,"24/02/07 09:09
보니까 게이리그에서도 한번말리면 계속 말리는 그런 타입의 선수라던데 저런 애를 왜 후반까지 계속쓴거지 하 이해를 할수가 없네 클린스만 ㅋㅋ 선수 파악 제대로 하지도 않고 램지 유니폼 싸인만 받으러 댕기고 재택근무만 하고 하.. 진짜 정몽규랑 둘이 손잡고 같이 나가라 진짜 ㅋㅋ 아직도 화가나네",https://everytime.kr/375208/v/329708373,3,2,1,4,부업 관련이나 실패 여부 애매
대학생 의류 쇼핑몰 설문조사👕,"25/06/07 06:52
과제 때문에 필요한건데 한번씩만 해주세요
이상한거 아니고 개인정보 안물어봐요
그냥 옷 살 때 어떤지만 조사해요
부탁드려요
+
조항에 오타를 발견하여 수정하였습니다
해주셨던 분들 다시 참여해주시면 감사하겠습니다
🔽🔽
https://naver.me/F3YbSZIE
(알수없음)",https://everytime.kr/375209/v/382135759,3,1,1,3,부업 관련이나 실패 여부 애매
